date;city;temperature;dev_point;humidity;wind;wind_speed;wind_gust;pressure;precipitation;visibility;heat_index;weather_status
2023-01-05 00:00:00;Warsaw;45;43;93;SW;14;;29.33;;6;45;Light Rain
2023-01-05 00:30:00;Warsaw;46;45;93;WSW;15;;29.3;;6;46;Mostly Cloudy
2023-01-05 01:00:00;Warsaw;46;45;93;WSW;16;;29.3;;4;46;Light Rain
2023-01-05 01:30:00;Warsaw;46;45;93;WSW;15;;29.27;;6;46;Light Rain
2023-01-05 02:00:00;Warsaw;46;45;93;WSW;15;;29.27;;6;46;Mostly Cloudy
2023-01-05 02:30:00;Warsaw;46;45;93;WSW;14;;29.27;;6;46;Light Rain Shower
2023-01-05 03:00:00;Warsaw;46;45;93;WSW;13;;29.24;;6;46;Light Rain Shower
2023-01-05 03:30:00;Warsaw;48;45;87;WSW;16;;29.24;;6;48;Mostly Cloudy
2023-01-05 04:00:00;Warsaw;48;45;87;W;16;;29.22;;6;48;Mostly Cloudy
2023-01-05 04:30:00;Warsaw;48;45;87;WSW;17;;29.22;;6;48;Mostly Cloudy
2023-01-05 05:00:00;Warsaw;48;45;87;WSW;13;;29.22;;6;48;Light Rain Shower
2023-01-05 05:30:00;Warsaw;48;45;87;W;18;;29.22;;6;48;Light Rain Shower
2023-01-05 06:00:00;Warsaw;46;45;93;W;17;29.0;29.22;;6;46;Light Rain Shower
2023-01-05 06:30:00;Warsaw;46;45;93;W;17;;29.22;;6;46;Light Rain Shower
2023-01-05 07:00:00;Warsaw;46;43;87;W;18;;29.22;;6;46;Mostly Cloudy
2023-01-05 07:30:00;Warsaw;46;43;87;W;18;;29.22;;6;46;Mostly Cloudy
2023-01-05 08:00:00;Warsaw;46;45;93;W;17;;29.22;;6;46;Light Rain Shower
2023-01-05 08:30:00;Warsaw;46;45;93;W;13;;29.22;;5;46;Light Rain Shower
2023-01-05 09:00:00;Warsaw;48;45;87;W;21;;29.22;;6;48;Mostly Cloudy / Windy
2023-01-05 09:30:00;Warsaw;48;45;87;W;20;;29.22;;6;48;Mostly Cloudy
2023-01-05 10:00:00;Warsaw;48;45;87;W;22;;29.24;;6;48;Light Rain Shower / Windy
2023-01-05 10:30:00;Warsaw;46;43;87;W;14;;29.24;;6;46;Light Rain Shower
2023-01-05 11:00:00;Warsaw;46;43;87;WNW;16;;29.24;;6;46;Partly Cloudy
2023-01-05 11:30:00;Warsaw;48;43;82;W;16;;29.24;;6;48;Mostly Cloudy
2023-01-05 12:00:00;Warsaw;48;43;82;W;20;;29.24;;6;48;Mostly Cloudy
2023-01-05 12:30:00;Warsaw;46;43;87;W;15;;29.24;;6;46;Light Rain Shower
2023-01-05 13:00:00;Warsaw;46;41;81;W;23;;29.24;;6;46;Mostly Cloudy / Windy
2023-01-05 13:30:00;Warsaw;46;41;81;W;18;;29.24;;6;46;Mostly Cloudy
2023-01-05 14:00:00;Warsaw;46;39;76;W;15;;29.24;;6;46;Mostly Cloudy
2023-01-05 14:30:00;Warsaw;45;39;81;W;20;;29.27;;6;45;Light Rain
2023-01-05 15:00:00;Warsaw;45;39;81;W;18;;29.27;;6;45;Light Rain
2023-01-05 15:30:00;Warsaw;45;39;81;W;20;;29.27;;6;45;Light Rain
2023-01-05 16:00:00;Warsaw;45;39;81;W;17;;29.27;;6;45;Mostly Cloudy
2023-01-05 16:30:00;Warsaw;45;39;81;W;16;;29.27;;6;45;Mostly Cloudy
2023-01-05 17:00:00;Warsaw;45;41;87;W;18;;29.27;;6;45;Light Rain
2023-01-05 17:30:00;Warsaw;43;41;93;WNW;15;;29.3;;5;43;Light Rain
2023-01-05 18:00:00;Warsaw;43;39;87;WNW;26;;29.3;;6;43;Mostly Cloudy / Windy
2023-01-05 18:30:00;Warsaw;43;37;81;WNW;26;41.0;29.33;;6;43;Mostly Cloudy / Windy
2023-01-05 19:00:00;Warsaw;41;39;93;WNW;20;;29.36;;6;41;Light Rain
2023-01-05 19:30:00;Warsaw;41;37;87;WNW;24;;29.36;;6;41;Mostly Cloudy / Windy
